material entropic redshift and the rsvp stack	Material: Entropic Redshift and the RSVP Stack	citation-only	1	standardgalactic/alphabet/projects/entropic-redshift-supplement.tex
a viability theory of fusion reactors 0 3em beyond the lawson criterion	A Viability Theory of Fusion Reactors [0.3em] Beyond the Lawson Criterion	standalone	2	standardgalactic/memory/fusion-viability/main.tex
abstraction before representation deterministic replay semantic equivalence and the ontology of intelligence	Abstraction Before Representation: Deterministic Replay, Semantic Equivalence, and the Ontology of Intelligence	standalone	1	standardgalactic/research-projects/epistemology/spherepop/Abstraction-before-Representation.tex
abstraction as reduction a proof theoretic and computational perspective	Abstraction as Reduction: A Proof--Theoretic and Computational Perspective	standalone	1	standardgalactic/alphabet/Abstraction as Reduction - colophon.tex
abstraction as stabilized replay memory equivalence and semantic depth	Abstraction as Stabilized Replay: Memory, Equivalence, and Semantic Depth	standalone	1	standardgalactic/research-projects/epistemology/Abstraction-as-Stabilized-Replay.tex
active geodesic inference reasoning as field dynamics synchronization and semantic folding	Active Geodesic Inference Reasoning as Field Dynamics, Synchronization, and Semantic Folding	standalone	1	standardgalactic/spherepop/Active Geodesic Inference.tex
adaptive trust dynamics corpus	Adaptive Trust Dynamics Corpus	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/index.tex
admissibility certificates 0 3em trust as a property of system histories	Admissibility Certificates [0.3em] Trust as a Property of System Histories	standalone	1	standardgalactic/calculus/processing/admissibility-certificates.tex
admissibility and renormalization geometry as an effective interface	Admissibility and Renormalization Geometry as an Effective Interface	standalone	1	standardgalactic/kitbash/Admissibility and Renormalization.tex
admissible continuation 1em a mathematical theory of persistent systems	Admissible Continuation [1em] A Mathematical Theory of Persistent Systems	standalone	1	standardgalactic/alphabet/resources/admissible-continuation.tex
admissible histories and the neural structure of error	Admissible Histories and the Neural Structure of Error	standalone	1	standardgalactic/alphabet/Admissible Histories - Neurocomputing.tex
admissible histories as a unifying principle of neural decision making	Admissible Histories as a Unifying Principle of Neural Decision-Making	standalone	1	standardgalactic/alphabet/Admissible Histories - Computational Biology.tex
admissible histories incongruent neurons and the temporal structure of decision making	Admissible Histories: Incongruent Neurons and the Temporal Structure of Decision-Making	standalone	1	standardgalactic/alphabet/Admissible Histories - Cognition.tex
admissible histories the incongruent neuron and the ontological structure of error	Admissible Histories: The Incongruent Neuron and the Ontological Structure of Error	standalone	2	standardgalactic/alphabet/Admissible Histories.tex
affine quantum deformation and the geometry of awareness	Affine Quantum Deformation and the Geometry of Awareness	standalone	1	standardgalactic/library/physics/affine-quantum-deformation-workshop.tex
affine quantum deformation and the geometry of awareness a unified theory of quantum structure and semantic dynamics	Affine Quantum Deformation and the Geometry of Awareness: A Unified Theory of Quantum Structure and Semantic Dynamics	standalone	1	standardgalactic/library/physics/affine-quantum-deformation-article.tex
affine quantum deformation and the geometry of awareness a unified variational framework	Affine Quantum Deformation and the Geometry of Awareness: A Unified Variational Framework	standalone	1	standardgalactic/library/physics/affine-quantum-deformation-abstract.tex
against eventless ontology 4pt two failures of state sufficiency	Against Eventless Ontology [4pt] Two Failures of State-Sufficiency	standalone	1	standardgalactic/alphabet/example/against-eventless-ontology.tex
against indiscriminate visibility on the structural risks of virality publicity and exposure	Against Indiscriminate Visibility: On the Structural Risks of Virality, Publicity, and Exposure	standalone	1	standardgalactic/alphabet/Against_Indiscriminate_Visibility.tex
against namespace laundering	Against Namespace Laundering	standalone	3	standardgalactic/antivenom/Against Namespace Laundering.tex
against the extinction thesis intelligence as an integrative ecological operator a systematic rebuttal to soares and yudkowsky from the rsvp perspective	Against the Extinction Thesis:\ Intelligence as an Integrative Ecological Operator\ A Systematic Rebuttal to Soares and Yudkowsky from the RSVP Perspective	standalone	1	standardgalactic/antivenom/Against-the-Extinction-Thesis.tex
against the kitchen sink on vendor gravity languages cognitive load and what spherepop proves	Against the Kitchen Sink: On Vendor-Gravity Languages, Cognitive Load, and What Spherepop Proves	standalone	2	standardgalactic/computation/against_the_kitchen_sink.tex
agency is not computation why irreversibility not intelligence defines the limit of artificial systems	Agency Is Not Computation Why Irreversibility, Not Intelligence, Defines the Limit of Artificial Systems	standalone	1	standardgalactic/library/Agency Is Not Computation.tex
agents and didactic interfaces on the loss of agency under semantic compression	Agents and Didactic Interfaces: On the Loss of Agency Under Semantic Compression	standalone	2	standardgalactic/research-projects/epistemology/agents-and-didactic-interfaces-v01.tex
agents and didactic interfaces semantic compression constraint loss and the conditions of responsibility	Agents and Didactic Interfaces: Semantic Compression, Constraint Loss, and the Conditions of Responsibility	standalone	2	standardgalactic/research-projects/epistemology/agents-and-didactic-interfaces.tex
amplitwist cortical columns as universal geometric operators	Amplitwist Cortical Columns as Universal Geometric Operators	standalone	1	standardgalactic/alphabet/manuscripts/amplitwist-cortical-columns/essay.tex
amplitwist operators in neurogeometric design from trust to perceptual stability	Amplitwist Operators in Neurogeometric Design: From Trust to Perceptual Stability	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_09.tex
aspirational exhaust semantic entropy and the collapse of identity on engagement optimized platforms	Aspirational Exhaust: Semantic Entropy and the Collapse of Identity on Engagement-Optimized Platforms	standalone	1	standardgalactic/antivenom/Aspirational Exhaust.tex
astrophysics after the uniform object 0 5em stratification burst cycles reservoirs and reachability from compact stars to the cosmic web	Astrophysics After the Uniform Object [0.5em] Stratification, Burst Cycles, Reservoirs, and Reachability from Compact Stars to the Cosmic Web	standalone	1	standardgalactic/research-projects/philosophy/astrophysics_after_uniform_object.tex
attention as a minimal relational interaction in entropy regulated field dynamics a derived geometric and bv theoretic formulation of rsvp	Attention as a Minimal Relational Interaction in Entropy-Regulated Field Dynamics: A Derived Geometric and BV-Theoretic Formulation of RSVP	standalone	1	standardgalactic/spherepop/attention-as-minimal-relational-interaction.tex
attentional cladistics revisited evolutionary thresholds in multi agent learning environments	Attentional Cladistics Revisited: Evolutionary Thresholds in Multi-Agent Learning Environments	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_04.tex
authoritative history and the limits of autoregressive intelligence	Authoritative History and the Limits of Autoregressive Intelligence	standalone	2	standardgalactic/antivenom/Authoritative History.tex
axioms for a falling universe the uniqueness of the rsvp lagrangian and the emergence of einstein gravity from entropic flow	Axioms for a Falling Universe: The Uniqueness of the RSVP Lagrangian and the Emergence of Einstein Gravity from Entropic Flow	standalone	2	standardgalactic/alphabet/axioms.tex
behavioural capture and authoritarianism a field theory of autonomy in the predictive age	Behavioural Capture and Authoritarianism: A Field Theory of Autonomy in the Predictive Age	standalone	1	standardgalactic/research-projects/essay/behavioural-capture.tex
beyond optimal foraging representation repair and the structural consequences of ai augmented research	Beyond Optimal Foraging: Representation Repair and the Structural Consequences of AI-Augmented Research	standalone	2	peterlodri-sec/vim-philosophy/beyond-optimal-foraging.tex
beyond parentheses 0 4em a geometric foundation for concurrent computation through the spherepop calculus 1 2em evaluation as the construction of irreversible computational histories	Beyond Parentheses: [0.4em] A Geometric Foundation for Concurrent Computation through the Spherepop Calculus [1.2em] Evaluation as the Construction of Irreversible Computational Histories	standalone	1	standardgalactic/spherepop/textbook/beyond-parentheses.tex
boundaries are computational objects 0 3em screening pursuit and refusal as three theories of what a boundary does	Boundaries Are Computational Objects [0.3em] Screening, Pursuit, and Refusal as Three Theories of What a Boundary Does	standalone	1	standardgalactic/calculus/processing/boundaries-computational-objects.tex
bounded immersion in mythic computation entropy limits on narrative recursion	Bounded Immersion in Mythic Computation: Entropy Limits on Narrative Recursion	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_07.tex
bounded violence an interpretive essay on flower wars	Bounded Violence An Interpretive Essay on Flower Wars	standalone	1	standardgalactic/alphabet/Flower Wars - Bounded Violence.tex
broken tools for a breaking world ai fragility the four races and the metacrisis	Broken Tools for a Breaking World: AI Fragility, the Four Races, and the Metacrisis	standalone	1	standardgalactic/antivenom/framework/fragility-metacrisis.tex
buffer world a 3d spatial tutorial for real vim motions concept and technical specification	Buffer World A 3D Spatial Tutorial for Real Vim Motions Concept and Technical Specification	standalone	2	standardgalactic/antivenom/resources/buffer-world.tex
building a type calculus and the calculus of constructions in spherepop a historical foundation for dependent type theory	Building a Type Calculus and the Calculus of Constructions in Spherepop A Historical Foundation for Dependent Type Theory	standalone	1	standardgalactic/spherepop/textbook/dependent-type-theory.tex
caldera reactor thermopneumatic compression fluidic computation and adaptive biomass processing	Caldera Reactor: Thermopneumatic Compression, Fluidic Computation, and Adaptive Biomass Processing	standalone	1	standardgalactic/caldera-reactor/caldera_reactor.tex
capacity dissipation and the onset of motility induced phase separation an empirical test of rsvp field dynamics	Capacity, Dissipation, and the Onset of Motility-Induced Phase Separation: An Empirical Test of RSVP Field Dynamics	standalone	1	standardgalactic/calculus/experiments/empirical-paper.tex
causal mechanistic interpretability from inspection to event historical structures two channel mediation and resilience in neural and knowledge systems	Causal Mechanistic Interpretability: From Inspection to Event-Historical Structures, Two-Channel Mediation, and Resilience in Neural and Knowledge Systems	standalone	2	standardgalactic/research-projects/interpretability/Causal Mechanistic Interpretability.tex
causal mediation event structure and regime sensitive mechanistic interpretability	Causal Mediation, Event Structure, and Regime-Sensitive Mechanistic Interpretability	standalone	1	standardgalactic/research-projects/interpretability/Causal Mediation.tex
centrality 0 4em symmetry preservation in nonequilibrium semantic substrates	Centrality [0.4em] Symmetry Preservation in Nonequilibrium Semantic Substrates	standalone	1	standardgalactic/library/projects/Distributed Centrality.tex
chokepoint capitalism in knowledge infrastructures an rsvp theoretic analysis	Chokepoint Capitalism in Knowledge Infrastructures: An RSVP-Theoretic Analysis	standalone	2	standardgalactic/kitbash/operations/essay-03/essay-03.tex
city of brutes 0 4em extended scene inventory 0 2em all scenes complete and planned	City of Brutes [0.4em] Extended Scene Inventory [0.2em] All scenes, complete and planned	standalone	1	standardgalactic/alphabet/screenplay/city_of_brutes_inventory.tex
civilizations as reachability systems 0 4em a geometric reading of turchin mckee and the biology of innovation	Civilizations as Reachability Systems [0.4em] A Geometric Reading of Turchin, McKee, and the Biology of Innovation	standalone	1	standardgalactic/kitbash/paperbot/reachability_systems.tex
clickbait empire robin hanson and the tension between intellectual openness and media spectacle	Clickbait Empire: Robin Hanson and the Tension Between Intellectual Openness and Media Spectacle	standalone	1	standardgalactic/standardgalactic/research/macro-economics.tex
cognition as constraint historical computation a formalization of the info computational framework	Cognition as Constraint-Historical Computation: A Formalization of the Info--Computational Framework	standalone	1	standardgalactic/library/Cognition-as-Constraint-Historical-Computation.tex
coherence before engagement an architecture for persistent meaning in digital systems	Coherence Before Engagement: An Architecture for Persistent Meaning in Digital Systems	standalone	1	standardgalactic/alphabet/Coherence Before Engagement.tex
collective intelligence under constraint search efficiency horizon collapse and anti cognitive platform design	Collective Intelligence Under Constraint: Search Efficiency, Horizon Collapse, and Anti-Cognitive Platform Design	standalone	2	standardgalactic/research-projects/Collective Intelligence Under Constraint.tex
compression after expansion on skill misattribution and the geometry of work	Compression After Expansion: On Skill, Misattribution, and the Geometry of Work	standalone	1	standardgalactic/alphabet/screenplay/compression_after_expansion.tex
compression abstraction and semantic construction a structural response to the mathematical foundations of intelligence	Compression, Abstraction, and Semantic Construction: A Structural Response to the Mathematical Foundations of Intelligence	standalone	1	standardgalactic/research-projects/epistemology/Semantic-Construction.tex
computation after storage toward an entropic theory of semantic infrastructure	Computation After Storage: Toward an Entropic Theory of Semantic Infrastructure	standalone	1	standardgalactic/spherepop/Computation After Storage.tex
computation as semantic maintenance embodied knowledge structural capability and the laws of development	Computation as Semantic Maintenance: Embodied Knowledge, Structural Capability, and the Laws of Development	standalone	1	standardgalactic/spherepop/Computation as Semantic Maintenance.tex
computing with spherepop a geometric merge collapse calculus	Computing with Spherepop: A Geometric Merge--Collapse Calculus	standalone	1	standardgalactic/spherepop/prototypes/docs/computing-with-spherepop.tex
consistency constraints and the geometry of learned representations	Consistency Constraints and the Geometry of Learned Representations	standalone	2	standardgalactic/alphabet/soup/consistency-constraints.tex
constitutional cybernetics 1em a control theoretic theory of government	Constitutional Cybernetics [1em] A Control-Theoretic Theory of Government	standalone	1	standardgalactic/memory/processing/constitutional-cybernetics.tex
constraint before capability admissibility governance failure and the structure of intelligent processes	Constraint Before Capability: Admissibility, Governance Failure, and the Structure of Intelligent Processes	standalone	1	standardgalactic/antivenom/Constraint Before Capability.tex
constraint before optimization toward a thermodynamics of trust and meaning	Constraint Before Optimization: Toward a Thermodynamics of Trust and Meaning	standalone	1	standardgalactic/library/Constraint Before Optimization.tex
constraint before reference operator semantics reification and symbolic conflict	Constraint Before Reference: Operator Semantics, Reification, and Symbolic Conflict	standalone	1	standardgalactic/alphabet/processing/Constraint Before Reference.tex
constraint closure and entropic decimation toward a unified field theory of computation cognition and cosmology	Constraint Closure and Entropic Decimation: Toward a Unified Field Theory of Computation, Cognition, and Cosmology	standalone	1	standardgalactic/research-projects/paper/entropic-decimation.tex
constraint geometry and semantic dynamics 6pt a unified field theory of hierarchical inference cognitive transformation and alignment	Constraint Geometry and Semantic Dynamics: [6pt] A Unified Field Theory of Hierarchical Inference, Cognitive Transformation, and Alignment	standalone	2	standardgalactic/kitbash/cosmology/constraint_geometry.tex
constraint regimes and the structure of surviving objects on the invariance of selection pressure across censorship feed dynamics and cognitive strategy	Constraint Regimes and the Structure of Surviving Objects On the Invariance of Selection Pressure Across Censorship, Feed Dynamics, and Cognitive Strategy	standalone	4	standardgalactic/library/monograph/constraint_regimes.tex
constraint continuity and cognitive structure a unified framework linking autoregressive minds relativistic field dynamics and the geometry of distinction	Constraint, Continuity, and Cognitive Structure: A Unified Framework Linking Autoregressive Minds, Relativistic Field Dynamics, and the Geometry of Distinction	standalone	1	standardgalactic/alphabet/document/autoregression.tex
constraints without commitment on the limits of algebraic unification in contemporary deep learning	Constraints Without Commitment: On the Limits of Algebraic Unification in Contemporary Deep Learning	standalone	1	standardgalactic/research-projects/Constraints-without-Commitment.tex
containers before contents 0 3em boundary dynamics selective permeability and the mathematics of inside	Containers Before Contents [0.3em] Boundary Dynamics, Selective Permeability, and the Mathematics of Inside	standalone	1	standardgalactic/research-projects/admissibility-lab/processing/containers-before-contents.tex
continuation geometry	Continuation Geometry	standalone	2	standardgalactic/computation/continuation_geometry_monograph.tex
continuation operators a formal model of prompt chains	Continuation Operators: A Formal Model of Prompt Chains	standalone	1	standardgalactic/alphabet/pipeline/continuation_operators.tex
contradiction and continuation 0 3em a constraint theoretic derivation of non classical logic	Contradiction and Continuation: [0.3em] A Constraint-Theoretic Derivation of Non-Classical Logic	standalone	1	standardgalactic/alphabet/soup/book-latex-source/main.tex
copies before originals 0 3em convergence admissibility and the explanatory status of the first instance	Copies Before Originals [0.3em] Convergence, Admissibility, and the Explanatory Status of the First Instance	standalone	1	standardgalactic/research-projects/admissibility-lab/processing/copies-before-originals.tex
correspondents and residents 6pt a mathematical treatise on sampling regimes suspension observability and the obligations of interfaces	Correspondents and Residents [6pt] A Mathematical Treatise on Sampling Regimes, Suspension Observability, and the Obligations of Interfaces	standalone	2	standardgalactic/computation/correspondents_and_residents.tex
cosmological constraints on institutional recursion deriving entropy from rsvp primitives	Cosmological Constraints on Institutional Recursion: Deriving Entropy from RSVP Primitives	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_15.tex
cosmological observables without expansion a scalar vector entropy field theory of redshift luminosity distance and the hubble tension 1em an rsvp and spherepop synthesis	Cosmological Observables Without Expansion: A Scalar--Vector--Entropy Field Theory of Redshift, Luminosity Distance, and the Hubble Tension [1em] An RSVP and Spherepop Synthesis	standalone	4	standardgalactic/kitbash/cosmology/rsvp_cosmology.tex
counterfactual explanation as perceptual control	Counterfactual Explanation as Perceptual Control	standalone	1	standardgalactic/alphabet/Counterfactual Explanation as Perceptual Control.tex
cultural narrative bounds preventing singularity in evolutionary myths	Cultural Narrative Bounds: Preventing Singularity in Evolutionary Myths	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_20.tex
culture and structural power mute compulsion as a general theory of social reproduction	Culture and Structural Power: Mute Compulsion as a General Theory of Social Reproduction	standalone	1	standardgalactic/antivenom/Culture-and-structural-power.tex
curvature contraction in ethical futarchies a field theoretic approach to moral decision making	Curvature Contraction in Ethical Futarchies: A Field-Theoretic Approach to Moral Decision-Making	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_03.tex
curvature symmetry in social liberation field theoretic dismantling of hierarchies	Curvature Symmetry in Social Liberation: Field-Theoretic Dismantling of Hierarchies	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_12.tex
dark patterns generative music platforms as predatory cultural infrastructure	Dark Patterns: Generative Music Platforms as Predatory Cultural Infrastructure	standalone	1	standardgalactic/antivenom/Dark Patterns.tex
deep learning solvers as lamphrodynamic flows in rsvp field theory	Deep Learning Solvers as Lamphrodynamic Flows in RSVP Field Theory	standalone	1	standardgalactic/research-projects/recursive-agency/lamphrodynamic-flows.tex
degenerate lattice cores in solar interiors beyond the point mass approximation	Degenerate Lattice Cores in Solar Interiors: Beyond the Point-Mass Approximation	standalone	1	standardgalactic/library/astrophysics/solar-interiors.tex
delta sigma modulators and data converters 6pt a field theoretic approach to quantization noise shaping and information flow	Delta--Sigma Modulators and Data Converters: [6pt] A Field-Theoretic Approach to Quantization, Noise Shaping, and Information Flow	standalone	1	standardgalactic/research-projects/delta-sigma-modulators/main.tex
descent into reality from learning systems to field dynamics	Descent into Reality From Learning Systems to Field Dynamics	standalone	1	standardgalactic/alphabet/framework/descent-into-reality.tex
developer lifecycles and language ecosystem dynamics on github a large scale analysis of a follow network	Developer Lifecycles and Language Ecosystem Dynamics on GitHub: A Large-Scale Analysis of a Follow Network	standalone	2	standardgalactic/research-projects/analysis/github_developer_lifecycles.tex
diagnosis before inference the initial power spectrum as an admissibility certificate in cosmological reconstruction	Diagnosis Before Inference: The Initial Power Spectrum as an Admissibility Certificate in Cosmological Reconstruction	standalone	1	standardgalactic/cosmology/diagnosis-before-inference.tex
diagnostic coordinates and the time of repair a correction to the anti alignment theorem	Diagnostic Coordinates and the Time of Repair: A Correction to the Anti-Alignment Theorem	standalone	2	standardgalactic/computation/diagnostic-coordinates.tex
divided we stand rsvp and the limits of coherence in ai safety	Divided We Stand: RSVP and the Limits of Coherence in AI Safety	standalone	2	standardgalactic/antivenom/essay/monograph.tex
ecphoric synthesis and event historical algebra a formal framework for persistent knowledge memory and meaning	Ecphoric Synthesis and Event-Historical Algebra A Formal Framework for Persistent Knowledge, Memory, and Meaning	standalone	1	standardgalactic/kitbash/Ecphoric Synthesis.tex
energy trust duality in geozotic networks hysteresis in sustainable power sharing	Energy–Trust Duality in Geozotic Networks: Hysteresis in Sustainable Power Sharing	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_06.tex
entropic paradoxes in big tech critique a formal analysis through the rsvp framework	Entropic Paradoxes in Big Tech Critique: A Formal Analysis Through the RSVP Framework	standalone	4	standardgalactic/kitbash/essay/paper.tex
entropic smoothing and relational geodesics a sheaf functor equivalence between rsvp field dynamics and barbour s configuration space	Entropic Smoothing and Relational Geodesics: A Sheaf--Functor Equivalence between RSVP Field Dynamics and Barbour's Configuration Space	standalone	3	standardgalactic/library/astrophysics/time/entropic-smoothing.tex
entropy budgets in cognitive architectures preventing over recursion in human ai symbiosis	Entropy Budgets in Cognitive Architectures: Preventing Over-Recursion in Human–AI Symbiosis	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_01.tex
entropy fields and civilization a theoretical perspective on rsvp dynamics	Entropy, Fields, and Civilization: A Theoretical Perspective on RSVP Dynamics	standalone	1	standardgalactic/research-projects/theoretical-perspective.tex
entropy limited myths in digital cultures bounded recursion for narrative sustainability	Entropy-Limited Myths in Digital Cultures: Bounded Recursion for Narrative Sustainability	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_07.tex
entropy regulated permeability in bioforge incubators trust in biotechnological networks	Entropy-Regulated Permeability in Bioforge Incubators: Trust in Biotechnological Networks	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_19.tex
entropy s edge the rsvp wars implementation specification and mathematical supplement	Entropy’s Edge: The RSVP Wars Implementation Specification and Mathematical Supplement	standalone	1	standardgalactic/gamma-waves/prototypes/entropys_edge.tex
ephemeral feeds and the erasure of context memory auditability and the design of algorithmic attention	Ephemeral Feeds and the Erasure of Context: Memory, Auditability, and the Design of Algorithmic Attention	standalone	1	standardgalactic/kitbash/Ephemeral Feeds.tex
erasure in scientific writing 0 3em interpretive drift compression and the search for invariants	Erasure in Scientific Writing [0.3em] Interpretive Drift, Compression, and the Search for Invariants	standalone	1	standardgalactic/research-projects/admissibility-lab/processing/autobiographical-erasure.tex
event historical aggregation map reduce as commitment in spherepop	Event--Historical Aggregation: Map--Reduce as Commitment in Spherepop	standalone	1	standardgalactic/spherepop/Event-historical Aggregation.tex
event nodes and texture nodes extending causal mechanistic interpretability with irreversible structure	Event-Nodes and Texture-Nodes: Extending Causal Mechanistic Interpretability with Irreversible Structure	standalone	1	standardgalactic/research-projects/interpretability/Event-Nodes and Texture-nodes.tex
event nodes texture nodes and causal structure from state intervention to event historical mechanistic explanation	Event-Nodes, Texture-Nodes, and Causal Structure: From State Intervention to Event-Historical Mechanistic Explanation	standalone	1	standardgalactic/research-projects/interpretability/Event-Nodes.tex
everlasting redshift apparent expansion in a relaxing universe	Everlasting Redshift Apparent Expansion in a Relaxing Universe	standalone	1	standardgalactic/kitbash/Everlasting Redshift.tex
everyone as founder colonial roots patriarchy and field theoretic society	Everyone as Founder: Colonial Roots, Patriarchy, and Field-Theoretic Society	standalone	1	standardgalactic/gamma-waves/economics/essay.tex
evolutionary attention dynamics cladistic pathways in adaptive learning networks	Evolutionary Attention Dynamics: Cladistic Pathways in Adaptive Learning Networks	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_04.tex
evolutionary development in the relativistic scalar vector plenum an entropic field theory of complex systems	Evolutionary Development in the Relativistic Scalar Vector Plenum: An Entropic Field Theory of Complex Systems	standalone	2	standardgalactic/research-projects/history/Evolutionary Development.tex
exaptation under delayed evaluation selection pressure management as a mechanism of creative intelligence	Exaptation Under Delayed Evaluation: Selection-Pressure Management as a Mechanism of Creative Intelligence	standalone	1	standardgalactic/alphabet/processing/Exaptation Under Delayed Evaluation.tex
executive summary affine quantum deformation and the geometry of awareness	Executive Summary: Affine Quantum Deformation and the Geometry of Awareness	standalone	1	standardgalactic/library/physics/affine-quantum-deformation-summary.tex
extending wordless imageless thought modal cognition in the relativistic scalar vector plenum	Extending ``Wordless Imageless Thought'': Modal Cognition in the Relativistic Scalar--Vector Plenum	standalone	1	standardgalactic/alphabet/aphantasia/extending-aphantasia-essay.tex
extrapolated riemannian curvature of semantic manifolds	Extrapolated Riemannian Curvature of Semantic Manifolds	standalone	7	standardgalactic/library/pipeline/monograph.tex
facebook and the structural degradation of social reality advertising attention and civilizational risk	Facebook and the Structural Degradation of Social Reality: Advertising, Attention, and Civilizational Risk	standalone	1	standardgalactic/antivenom/diatribe.tex
field ontologies of the rsvp stack from scalar smoothing to cognitive closure revised	Field Ontologies of the RSVP Stack: From Scalar Smoothing to Cognitive Closure (Revised)	standalone	1	standardgalactic/alphabet/projects/field-ontologies.tex
field theoretic patriarchy colonial roots and radical rsvp solutions	Field-Theoretic Patriarchy: Colonial Roots and Radical RSVP Solutions	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle1_Diagnosis/essay_1_12.tex
fields on semantic manifolds directional constraints spectral admissibility and random geometric graph structure	Fields on Semantic Manifolds Directional Constraints, Spectral Admissibility, and Random Geometric Graph Structure	standalone	1	standardgalactic/calculus/baseline/preference_fields.tex
fixed point causality 0 35em physics consciousness and computation in the relativistic scalar vector plenum	Fixed--Point Causality [0.35em] Physics, Consciousness, and Computation in the Relativistic Scalar--Vector Plenum	standalone	1	standardgalactic/alphabet/workspace/monograph.tex
fixed point causality physics consciousness and computation in the relativistic scalar vector plenum	Fixed-Point Causality: Physics, Consciousness, and Computation in the Relativistic Scalar–Vector Plenum	standalone	1	standardgalactic/research-projects/fixed-point-causality.tex
flower wars compendium and dramatis personae	Flower Wars Compendium and Dramatis Personae	standalone	1	standardgalactic/alphabet/Flower Wars - Compendium.tex
fractal agency in ecological triads entropy coherence across scales	Fractal Agency in Ecological Triads: Entropy Coherence Across Scales	standalone	1	standardgalactic/spherepop/processing/adaptive-trust/Adaptive_Trust_Dynamics_Corpus/Cycle2_Renewal/essay_2_10.tex
friction as inoculation 4pt null preservation bounded difficulty 2pt and the architecture of cognitive resilience	Friction as Inoculation: [4pt] Null Preservation, Bounded Difficulty, [2pt] and the Architecture of Cognitive Resilience	standalone	2	standardgalactic/antivenom/rhetoric/Friction as Inoculation.tex
from accumulation to closure inference memory and the constraint theoretic turn 0 5em reconstruction composability and the political economy of state	From Accumulation to Closure: Inference, Memory, and the Constraint-Theoretic Turn [0.5em] Reconstruction, Composability, and the Political Economy of State	standalone	1	standardgalactic/TARTAN/accumulation-to-closure.tex
from catharsis to geometric bayesianism rsvp and the demise of the hydraulic model of emotion	From Catharsis to Geometric Bayesianism: RSVP and the Demise of the Hydraulic Model of Emotion	standalone	2	standardgalactic/kitbash/research/psychology/emotions.tex
from gossip to chokepoint capitalism cycles of semantic constraint	From Gossip to Chokepoint Capitalism: Cycles of Semantic Constraint	standalone	1	standardgalactic/kitbash/processing/essay/main.tex
from inspection to intervention causal mechanisms and algorithmic understanding in neural networks	From Inspection to Intervention: Causal Mechanisms and Algorithmic Understanding in Neural Networks	standalone	1	standardgalactic/research-projects/interpretability/From Inspection to Intervention.tex
from irreversible constraint to metric interface dynamics	From Irreversible Constraint to Metric Interface Dynamics	standalone	1	standardgalactic/kitbash/Metric Interface Dynamics.tex
from managed activity to constraint closure 0 5em a selection theoretic replacement for bullshit jobs	From Managed Activity to Constraint Closure [0.5em] A Selection-Theoretic Replacement for Bullshit Jobs	standalone	1	standardgalactic/antivenom/projects/constraint_closure.tex
from minerals to minds irreversibility and the physical origins of intelligence	From Minerals to Minds: Irreversibility and the Physical Origins of Intelligence	standalone	1	standardgalactic/alphabet/From Minerals to Minds.tex
from persuasion to realization 0 5em constraint closure and the geometry of inference	From Persuasion to Realization [0.5em] Constraint Closure and the Geometry of Inference	standalone	1	standardgalactic/TARTAN/persuasion.tex
from rsvp field dynamics to tag multi agent hierarchies	From RSVP Field Dynamics to TAG Multi-Agent Hierarchies	standalone	1	standardgalactic/kitbash/operations/essay-01/monograph.tex
from rsvp fields to mechanistic self aware machines	From RSVP Fields to Mechanistic Self-Aware Machines	standalone	4	standardgalactic/gamma-waves/projects/essay.tex
from sets to parts operational mereology via event sourced semantics	From Sets to Parts: Operational Mereology via Event--Sourced Semantics	standalone	2	standardgalactic/spherepop/Operational-Mereology.tex
